Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1µF","C_0603_1608Metric",172.700000,-88.125000,90.000000,top
"C2","0.1µF","C_0603_1608Metric",154.000000,-88.025000,-90.000000,top
"CBAT1","4.7µF","C_0603_1608Metric",168.900000,-74.000000,0.000000,top
"CEN1","0.1µF","C_0603_1608Metric",140.500000,-91.225000,90.000000,top
"CIN1","22µF","C_0603_1608Metric",167.000000,-88.125000,90.000000,top
"CIN2","1µF","C_0603_1608Metric",165.500000,-77.925000,-90.000000,top
"COUT1","22µF","C_0603_1608Metric",164.675000,-90.900000,180.000000,top
"COUT2","1µF","C_0603_1608Metric",159.700000,-77.925000,90.000000,top
"C_BP1","0.1µF","C_0603_1608Metric",167.000000,-85.025000,-90.000000,top
"C_BP2","0.1µF","C_0603_1608Metric",160.425000,-90.900000,180.000000,top
"C_BP3","0.1µF","C_0603_1608Metric",151.800000,-88.025000,-90.000000,top
"C_BP4","0.1µF","C_0603_1608Metric",157.400000,-84.000000,0.000000,top
"C_BP5","0.1µF","C_0603_1608Metric",135.800000,-91.225000,90.000000,top
"C_BP6","0.1µF","C_0603_1608Metric",140.900000,-76.725000,90.000000,top
"C_BP7","0.1µF","C_0603_1608Metric",138.500000,-76.700000,90.000000,top
"D1","PTVS5V0Z1USK","Nexperia_DSN1608-2_1.6x0.8mm",173.615000,-83.015000,180.000000,top
"D2","PESD3V3U1UL","D_SOD-882",175.265000,-81.015000,180.000000,top
"D3","PESD3V3U1UL","D_SOD-882",175.265000,-85.015000,180.000000,top
"DCHG1","LED_Small","LED_0805_2012Metric",177.262500,-73.500000,180.000000,top
"DPGOOD1","LED_Small","LED_0805_2012Metric",177.237500,-92.500000,180.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",180.925000,-83.080000,90.000000,top
"R1","1.13k","R_0603_1608Metric",172.700000,-77.925000,90.000000,top
"R2","1.18k","R_0603_1608Metric",170.800000,-88.125000,-90.000000,top
"R3","10k","R_0603_1608Metric",171.000000,-77.925000,-90.000000,top
"R4","1k","R_0603_1608Metric",169.300000,-77.925000,90.000000,top
"R5","1k","R_0603_1608Metric",168.900000,-88.125000,-90.000000,top
"REN1","1k","R_0603_1608Metric",138.150000,-91.225000,-90.000000,top
"R_CC1","5.1k","R_0603_1608Metric",177.400000,-89.500000,180.000000,top
"R_CC2","5.1k","R_0603_1608Metric",177.425000,-76.500000,180.000000,top
"SW1","SW_Push","SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243",149.700000,-92.000000,0.000000,top
"SW2","SW_DPST_x2","SW_DIP_SPSTx01_Slide_Copal_CHS-01A_W5.08mm_P1.27mm_JPin",171.060000,-92.900000,0.000000,top
"U1","ESP32-S3-WROOM-2","ESP32-S3-WROOM-2",120.100000,-83.015000,90.000000,top
"U2","ICM-20948","InvenSense_QFN-24_3x3mm_P0.4mm",152.865000,-83.015000,0.000000,top
"U3","BQ24074RGT","VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm",170.265000,-82.915000,-90.000000,top
"U4","TLV70019_SOT23-5","SOT-23-5",162.562500,-77.950000,180.000000,top
"U5","TXB0104D","SOIC-14_3.9x8.7mm_P1.27mm",139.725000,-82.990000,0.000000,top
"U6","AMS1117-3.3","SOT-223-3_TabPin2",162.565000,-85.665000,90.000000,top
